"path","retention_class","owner","role","size_mb","file_count","auto_delete_allowed","default_action","archive_after_days","purge_after_days","proof_or_blocker","notes"
"out/__pycache__","temp_debug","Reviewer/Custodian","candidate only after manifest and active-owner check","0.021","1","conditional","dry-run purge candidate","","","classified","candidate only after manifest and active-owner check"
"out/_root_files","mixed_current_and_history","All flows","top-level out files need manifest grouping","1080.718","1147","no","manifest only","","","classified","top-level files are mixed runtime/proof/history; no bulk cleanup"
"out/analysis_reports","audit_history","Operations/Custodian","proof or operational history, not bulk delete","780.748","1708","no","archive by manifest","","","classified","proof or operational history, not bulk delete"
"out/archive","audit_history","Operations/Custodian","proof or operational history, not bulk delete","4.524","2","no","archive by manifest","","","classified","proof or operational history, not bulk delete"
"out/backups","rollback","System","rollback protected until keep-count policy exists","9482.841","10922","no","manifest only","","","classified","rollback protected until keep-count policy exists"
"out/cycle_alerts","audit_history","Operations/Custodian","proof or operational history, not bulk delete","3.394","412","no","archive by manifest","","","classified","proof or operational history, not bulk delete"
"out/golden_runs","audit_history","Operations/Custodian","proof or operational history, not bulk delete","0.002","2","no","archive by manifest","","","classified","proof or operational history, not bulk delete"
"out/h_handover_test_a5bepq9g","temp_debug","Reviewer/Custodian","candidate only after manifest and active-owner check","0","0","conditional","dry-run purge candidate","","","classified","candidate only after manifest and active-owner check"
"out/h_reconcile_test_400yw7la","temp_debug","Reviewer/Custodian","candidate only after manifest and active-owner check","0","0","conditional","dry-run purge candidate","","","classified","candidate only after manifest and active-owner check"
"out/h_reconcile_test_mwt33aiz","temp_debug","Reviewer/Custodian","candidate only after manifest and active-owner check","0","0","conditional","dry-run purge candidate","","","classified","candidate only after manifest and active-owner check"
"out/h_reconcile_test_v5nxlu76","temp_debug","Reviewer/Custodian","candidate only after manifest and active-owner check","0","0","conditional","dry-run purge candidate","","","classified","candidate only after manifest and active-owner check"
"out/h_reconcile_test_ykdt2bzl","temp_debug","Reviewer/Custodian","candidate only after manifest and active-owner check","0","0","conditional","dry-run purge candidate","","","classified","candidate only after manifest and active-owner check"
"out/home_time","audit_history","Operations/Custodian","proof or operational history, not bulk delete","0.065","5","no","archive by manifest","","","classified","proof or operational history, not bulk delete"
"out/housekeeping","audit_history","Operations/Custodian","proof or operational history, not bulk delete","1851.913","1778","no","archive by manifest","","","classified","proof or operational history, not bulk delete"
"out/locks","current_runtime","System/All flows","protected live runtime or proof area","21.916","8433","no","keep","","","classified","protected live runtime or proof area"
"out/logs","audit_history","Operations/Custodian","proof or operational history, not bulk delete","0.13","2","no","archive by manifest","","","classified","proof or operational history, not bulk delete"
"out/manifests","audit_history","Operations/Custodian","proof or operational history, not bulk delete","233.258","36519","no","archive by manifest","","","classified","proof or operational history, not bulk delete"
"out/migration_backups","rollback","System","rollback protected until keep-count policy exists","2.626","38","no","manifest only","","","classified","rollback protected until keep-count policy exists"
"out/monitoring","audit_history","Operations/Custodian","proof or operational history, not bulk delete","0.01","5","no","archive by manifest","","","classified","proof or operational history, not bulk delete"
"out/overnight_backups","rollback","System","rollback protected until keep-count policy exists","0.424","8","no","manifest only","","","classified","rollback protected until keep-count policy exists"
"out/parking","current_runtime","Business/Flows","runtime/business parking evidence protected","0.012","2","no","keep","","","classified","runtime/business parking evidence protected"
"out/process_guides","audit_history","Operations/Custodian","proof or operational history, not bulk delete","1.934","91","no","archive by manifest","","","classified","proof or operational history, not bulk delete"
"out/proof","audit_history","Operations/Custodian","proof or operational history, not bulk delete","111.006","863","no","archive by manifest","","","classified","proof or operational history, not bulk delete"
"out/proof_runs","audit_history","Operations/Custodian","proof or operational history, not bulk delete","0.345","26","no","archive by manifest","","","classified","proof or operational history, not bulk delete"
"out/pytest_basetemp_p013_o050","temp_debug","Reviewer/Custodian","candidate only after manifest and active-owner check","0","0","conditional","dry-run purge candidate","","","classified","candidate only after manifest and active-owner check"
"out/pytest_tmp","temp_debug","Reviewer/Custodian","candidate only after manifest and active-owner check","0","0","conditional","dry-run purge candidate","","","classified","candidate only after manifest and active-owner check"
"out/pytest_tmp_run","temp_debug","Reviewer/Custodian","candidate only after manifest and active-owner check","0","0","conditional","dry-run purge candidate","","","classified","candidate only after manifest and active-owner check"
"out/reports","audit_history","Operations/Custodian","proof or operational history, not bulk delete","15.713","466","no","archive by manifest","","","classified","proof or operational history, not bulk delete"
"out/reviews","audit_history","Operations/Custodian","proof or operational history, not bulk delete","0.039","13","no","archive by manifest","","","classified","proof or operational history, not bulk delete"
"out/snapshots","audit_history","Operations/Custodian","proof or operational history, not bulk delete","375.551","10275","no","archive by manifest","","","classified","proof or operational history, not bulk delete"
"out/sql","current_runtime","System/All flows","protected live runtime or proof area","1176.723","1","no","keep","","","classified","protected live runtime or proof area"
"out/sql_migration","audit_history","System","migration proof/history protected until reviewed","795.556","585","no","manifest only","","","classified","migration proof/history protected until reviewed"
"out/systems","current_runtime","System/All flows","protected live runtime or proof area","140629.435","191488","no","keep","","","classified","protected live runtime or proof area"
