source_type,item_id,name,status,kind,target,sellerone_scope,recommendation,luke_decision_required,reason
codex_automation,daily-f-ai-review-queue-manager,Daily F AI Review Queue Manager,PAUSED,cron,,sellerone,candidate_rebuild_from_scratch,no,"Possible review watcher, but should be rebuilt against the queue contract."
codex_automation,diet-planner-weekly-press-play,Weekly Planner,PAUSED,cron,,external,leave_paused_out_of_sellerone_scope,no,Not a SellerOne control automation.
codex_automation,diet-v3-recipe-change-worker-hourly,Recipe Changes,PAUSED,cron,,external,leave_paused_out_of_sellerone_scope,no,Not a SellerOne control automation.
codex_automation,diet-v3-recipe-codex-builder-hourly,Recipe Builder,PAUSED,cron,,external,leave_paused_out_of_sellerone_scope,no,Not a SellerOne control automation.
codex_automation,diet-v3-recipe-gpt-polish-hourly,Recipe Polish,PAUSED,cron,,external,leave_paused_out_of_sellerone_scope,no,Not a SellerOne control automation.
codex_automation,diet-v3-recipe-manager-quality-check-hourly,Recipe QC,PAUSED,cron,,external,leave_paused_out_of_sellerone_scope,no,Not a SellerOne control automation.
codex_automation,diet-v3-recipe-orchestration-manager-hourly,Recipe Orchestrator,PAUSED,cron,,external,leave_paused_out_of_sellerone_scope,no,Not a SellerOne control automation.
codex_automation,diet-v3-recipe-production-pulse,Diet V3 Recipe Production Pulse,PAUSED,heartbeat,,external,leave_paused_out_of_sellerone_scope,no,Not a SellerOne control automation.
codex_automation,f-scanner-remaining-update,F Login Cooldown Switch Manager,PAUSED,heartbeat,,sellerone,retire_old_cycle_heartbeat,no,"Old F login/session heartbeat should become ticketed work, not a standing loop."
codex_automation,f032-codex-ai-review-gate,F032 Codex AI review gate,PAUSED,cron,,sellerone,candidate_rebuild_from_scratch,no,"Possible review watcher, but should be rebuilt against the queue contract."
codex_automation,monday-restocking-pickup,Monday Restocking Pickup,PAUSED,heartbeat,,sellerone,retire_old_cycle_heartbeat,no,Old O/restocking pulse should become a bounded ticket or redesigned watcher.
codex_automation,o-h-maintenance-automation,O H maintenance automation,PAUSED,cron,,sellerone,protected_do_not_resume,no,H/O maintenance automation touches protected scheduler territory.
codex_automation,o-net-fee-restock-mot-check,O net-fee restock MOT check,PAUSED,cron,,sellerone,retire_old_cycle_heartbeat,no,Old O/restocking pulse should become a bounded ticket or redesigned watcher.
codex_automation,sellerboard-daily-email-mot-intake,Sellerboard Daily Email MOT Intake,PAUSED,cron,,sellerone,candidate_rebuild_from_scratch,no,"Possible health watcher, but it must write control evidence only."
codex_automation,sellerone-manager-briefing-github-pulse,SellerOne Manager Briefing GitHub Pulse,PAUSED,cron,,sellerone,candidate_rebuild_from_scratch,no,"Possible 2.1 Rep briefing or usage reporter, but rebuild rather than resume."
codex_automation,sellerone-manager-coordinator-pulse,SellerOne Weekend Hometime F Durability Pulse,PAUSED,heartbeat,,sellerone,retire_old_heartbeat,no,Old weekend/hometime pulse should not be resumed as a standing manager.
codex_automation,sellerone-o-readiness-pulse,SellerOne O Readiness Pulse,PAUSED,heartbeat,,sellerone,retire_old_cycle_heartbeat,no,Old O/restocking pulse should become a bounded ticket or redesigned watcher.
codex_automation,sellerone-quiet-daily-log,SellerOne Quiet Daily Log,PAUSED,cron,,sellerone,candidate_rebuild_from_scratch,no,"Possible 2.1 Rep briefing or usage reporter, but rebuild rather than resume."
codex_automation,so21-rep-briefing,SO21-REP-BRIEFING,ACTIVE,cron,,sellerone,pilot_active_approved,no,Approved 2.1 Rep briefing pilot is active.
codex_automation,welsh-daily-planner,Welsh Daily Planner,PAUSED,cron,,external,leave_paused_out_of_sellerone_scope,no,Not a SellerOne control automation.
windows_scheduler,AMZ Controlled Restart,AMZ Controlled Restart,Disabled,scheduled_task,cmd.exe /c C:\Users\Luke\Desktop\SELLER~1.0\run_controlled_restart_controller.bat,sellerone,leave_disabled_or_inactive,no,Scheduler is not currently ready/running.
windows_scheduler,AMZ H Cycle,AMZ H Cycle,Disabled,scheduled_task,"cmd.exe /c ""C:\Users\Luke\Desktop\SellerOne 2.0\run_H_cycle.bat""",sellerone,leave_disabled_or_inactive,no,Scheduler is not currently ready/running.
windows_scheduler,AMZ Morning MOT Post A,AMZ Morning MOT Post A,Disabled,scheduled_task,"cmd.exe /d /c call ""C:\Users\Luke\Desktop\SellerOne 2.0\run_morning_mot_system.bat"" --phase post_a --repair --proof-wait-seconds 30",sellerone,leave_disabled_or_inactive,no,Scheduler is not currently ready/running.
