path,instruction_role,status,canonical_level,next_action,notes
AGENTS.md,repo bootstrap,shortened,bootstrap,keep,"Routes all repo work into 2.1 role and safety files."
sellerone_manager/AGENTS.md,manager workspace bootstrap,shortened,bootstrap,keep,"Routes manager workspace chats into current control files and role files."
sellerone_manager/CONTROL/ROLE_BOOTSTRAP.md,role router,created,canonical,keep,"Defines Rep, Builder, Reviewer, Custodian, and cycle sub-manager routing."
sellerone_manager/CONTROL/RUNTIME_SAFETY_RULES.md,runtime safety,created,canonical,keep,"Holds detailed protected-action and proof rules."
sellerone_manager/MANAGER_CHAT.md,manager role detail,keep,role detail,trim later,"Still useful but duplicates board, Hometime, MOT, and packet rules."
sellerone_manager/WORKER_CHAT.md,worker role detail,keep,role detail,trim later,"Still useful and already compact."
sellerone_manager/CYCLE_SUB_MANAGER_CHAT.md,cycle sub-manager detail,keep,role detail,trim later,"Still useful and already compact."
sellerone_manager/MANAGER_CHARTER.md,manager philosophy,keep,context,merge later,"Good charter, but some authority/proof detail now lives in runtime safety."
sellerone_manager/CODING_PLAN.md,old F implementation memory,context only,legacy,archive later,"Oversized F login history. Not canonical for current 2.1 control state."
WORK_LOG.md,work log,not canonical,legacy,archive later,"Historical context only."
sellerone_manager/thread_prompts,old thread prompts,template/history,legacy,archive later,"Do not use as live source of truth."
sellerone_manager/agent_launch_prompts,old launch prompts,template/history,legacy,archive later,"Do not use as live source of truth."
sellerone_manager/thread_starters,old starters,template/history,legacy,archive later,"Do not use as live source of truth."
