observed_utc,scope,job_ref,source,status,usage_signal,risk_level,measurement,actual_cost_available,reason,next_action
2026-06-08T14:18:29Z,accounting,AI-USAGE-RAW-COST-DATA,control_files,missing,real_token_or_billing_source_missing,medium,actual_cost=not_available,no,"No local SellerOne 2.1 billing or token-spend source is configured. This report is usage-pressure visibility, not a bill.",Create a real billing/token source before treating AI usage as financial cost.
2026-06-08T14:18:29Z,queue,ALL-ACTIVE-TICKETS,approved_task_packets.csv,visible,active_non_luke_ticket_count,high,active_tickets=11,no,"Each active ticket can generate AI work, tests, review, and MOT proof.",Work from CURRENT_TICKETS.md and avoid opening duplicate chats for the same job_ref.
2026-06-08T14:18:29Z,queue,ALL-BLOCKED-TICKETS,approved_task_packets.csv,blocked,blocked_luke_decision_count,medium,blocked_tickets=4,no,Blocked tickets can waste AI time if workers keep investigating without a Luke decision.,Keep blocked work in BACKLOG.md until Luke approves the named protected choice.
2026-06-08T14:18:29Z,queue,ALL-PARKED-TICKETS,approved_task_packets.csv,parked,parked_ticket_count,medium,parked_tickets=9,no,Parked tickets should not keep generating chat or proof attempts until their trigger changes.,Keep parked work in BACKLOG.md and avoid routine progress chatter.
2026-06-08T14:18:29Z,proof,F-BROWSER-SESSION-DURABILITY,approved_task_packets.csv,waiting_proof,retest_or_monitoring_loop,high,status=fixed_needs_retest,no,Waiting-proof work can create repeated AI monitoring unless the proof condition is bounded.,Use the named proof route and stop if the proof window is unavailable.
2026-06-08T14:18:29Z,mot,MOT-PRESSURE,out/systems/M/mot,decision_needed,fail_warn_decision_count,high,fails=8;warnings=20;decisions=1;not_checked=6,no,High MOT pressure can create repeated manager and worker prompts if not converted into bounded packets.,Use MOT rows only as candidates until they are promoted into approved packets.
2026-06-08T14:18:29Z,automation,CODEX-AUTOMATIONS,Codex automation definitions,active,active_automation_count,high,active=1;paused=19;total=20,no,Active automations can spend AI in the background. Paused automations are no immediate spend risk.,Rebuild only specific automations after the 2.1 automation policy is approved.
2026-06-08T14:18:29Z,instruction_memory,PLANS,plans,template_or_history,archived_prompt_or_plan_folder,low,files=571;bytes=35196654,no,"Prompt and plan folders are marked as history/template material, so they should not create active AI work.",Convert useful patterns into skill specs; keep these folders out of the active queue.
2026-06-08T14:18:29Z,instruction_memory,THREAD-PROMPTS,sellerone_manager\thread_prompts,template_or_history,archived_prompt_or_plan_folder,low,files=13;bytes=34288,no,"Prompt and plan folders are marked as history/template material, so they should not create active AI work.",Convert useful patterns into skill specs; keep these folders out of the active queue.
2026-06-08T14:18:29Z,instruction_memory,AGENT-LAUNCH-PROMPTS,sellerone_manager\agent_launch_prompts,template_or_history,archived_prompt_or_plan_folder,low,files=8;bytes=18628,no,"Prompt and plan folders are marked as history/template material, so they should not create active AI work.",Convert useful patterns into skill specs; keep these folders out of the active queue.
2026-06-08T14:18:29Z,instruction_memory,THREAD-STARTERS,sellerone_manager\thread_starters,template_or_history,archived_prompt_or_plan_folder,low,files=6;bytes=20176,no,"Prompt and plan folders are marked as history/template material, so they should not create active AI work.",Convert useful patterns into skill specs; keep these folders out of the active queue.
2026-06-08T14:18:29Z,instruction_memory,PROJECT-THREADS,sellerone_manager\project_threads,template_or_history,archived_prompt_or_plan_folder,low,files=24;bytes=62875,no,"Prompt and plan folders are marked as history/template material, so they should not create active AI work.",Convert useful patterns into skill specs; keep these folders out of the active queue.
2026-06-08T14:18:29Z,instruction_memory,GOALS,sellerone_manager\goals,template_or_history,archived_prompt_or_plan_folder,low,files=12;bytes=12656,no,"Prompt and plan folders are marked as history/template material, so they should not create active AI work.",Convert useful patterns into skill specs; keep these folders out of the active queue.
2026-06-08T14:18:29Z,control_backlog,SO21-CONTROL-BACKLOG,CONTROL/BACKLOG.md,visible,control_backlog_item_count,low,control_backlog_items=1,no,"Control backlog items are useful, but too many simultaneous control tasks can create scattered AI work.",Work one 2.1 control task at a time and update CURRENT_STATE.md after each.
