thread_key,thread_name,project_prompt_file,status,priority,owner_role,main_job,current_state,next_result_expected,protected_boundaries
B,B worker thread,01_B_WORKER_THREAD.md,ready_to_open_first,1,cycle_worker,"Keep B warning-labelled while refund, fee, shipping, ROI, marketplace, and P and L proof improve","B is warning-only again. No active B fail, but refund/token bridge, Sellerboard bridge, marketplace coverage, return-token audit, and API money proof are still not clean enough for live ROI/restocking.","B worker result showing API-backed refund/fee/P and L proof, warning-labelled rows, or a bounded approved repair packet","No B live run; no restart; no lock or marker edits; no Sheets; no prices; no queues; no DB alignment; no output deletion"
H,H safety thread,02_H_SAFETY_THREAD.md,ready_after_b_or_parallel_safety_only,2,cycle_worker,"Keep H parked while building safety proof and repair packages","H has a B06 defensive-listing handover from the F lane. Latest read-only H MOT showed runtime/finalizer fails and B06 defensive proof still waiting.","H safety result proving B06 defensive stand-down/proof visibility or packaging the H runtime/finalizer blocker","No H run; no scheduler pause/resume; no publish; no prices; no queues; no Sheets; no DB alignment; no output deletion"
F,F proof thread,03_F_PROOF_THREAD.md,ready_after_b_or_parallel_proof_only,3,cycle_worker,"Clean F source proof warnings without touching scanner runtime","F has active source-proof work and a protected Seller Central login/code-forwarding gate. BBP recovery remains separate from this Seller Central proof.","F proof result for source intake, URL, email, login-state classification, and queue recommendation proof","No F061 run; no queue edit; no separate Chrome workaround; no prices; no Sheets; no output deletion; no worker restart"
O,O build thread,04_O_BUILD_THREAD.md,ready_after_b_or_parallel_build_only,4,cycle_worker,"Keep O honest as mid-build and prove user walkthrough readiness","O is safe for viewing/review/decision-shaping only; full restock-to-Amazon loop is not live.","O result proving single workflow view or recording not_started/not_verified/parked states","No H pause; no market scan; no PO; no receiving; no send-to-Amazon; no Sheets; no prices; no queues; no DB alignment; no output deletion"
E,E proof thread,05_E_PROOF_THREAD.md,ready_after_b_or_parallel_warning_only,5,cycle_worker,"Keep E analytics proof clean and separate confidence gaps from failures","E outputs are fresh and clean; ROI coverage remains a business confidence warning.","E result preserving ROI warning and proving daily-truth/cadence/output confidence","No live E run without proof window; no restock decision; no Sellerboard estimates as live ROI; no prices; no queues; no Sheets; no DB alignment"
MAIN,Main manager combiner,06_MAIN_MANAGER_COMBINER_THREAD.md,ready_after_worker_results,6,manager,"Fold worker results into one board and choose next safe batch","Manager is blocked by protected parked F/B decision packets, but B is warning-only again and safe F source-proof work can continue.","Single CEO-level summary and updated next safe batch","No direct worker repair unless approved packet exists; no protected actions"
A,A watch thread,07_A_WATCH_ONLY_THREAD.md,watch_only_if_a_fails,7,cycle_worker,"Watch A only if A MOT fails","A is calm and proved.","Only needed if A fails or stale source-fact proof appears","No ad-hoc A015-only proof; no Sheets; no Product DB edits; no live A run unless approved proof window"
B_REFUND_PNL_ROI,B refund P&L ROI thread,08_B_REFUND_PNL_ROI_THREAD.md,ready_to_open_now,1,cycle_worker,"Prove API refunds into P&L refund units, SKU refund percentage, E ROI refund drag, and O restock confidence","Refund data exists and is linked to orders/SKUs, but refund-to-profit-to-ROI proof is not yet complete.","A worker result showing refund bridge, SKU refund rate, P&L reconciliation, E/O proof labels, or a bounded approved repair packet","No live B/E/O run without approved proof; no Sheets; no prices; no queues; no publishing; no DB alignment; no output deletion; no Sellerboard estimates as final ROI"
F_BBP_LOGIN,F BBP login recovery thread,09_F_BBP_LOGIN_RECOVERY_THREAD.md,ready_to_open_now,1,cycle_worker,"Implement safe BBP login recovery inside the scanner-owned F061 browser","BBP logout can block scanner progress; credentials placeholder exists but login recovery is not implemented or live-proven.","A worker result showing code-only login recovery proof, safe blocked state, or a parked live proof request","No F061 run without approved proof; no queue edits; no scanner restart; no separate login browser; no prices; no Sheets; no output deletion; no real credentials in code or chat"
URGENT_RESTOCK_WALKTHROUGH,Urgent manual restock and new-product walkthrough,10_URGENT_RESTOCK_WALKTHROUGH_THREAD.md,ready_to_open_now,1,decision_support,"Record Luke's urgent manual restock thinking and compare SellerOne, Sellerboard, supplier, and scanner evidence","O is not ready to buy automatically, but Luke needs urgent restock support and may want to test new products from F scanner evidence.","A walkthrough note showing Luke's buying reasons, SellerOne/Sellerboard/scanner evidence, missing proof, final decision, and what O/F must learn","No purchase automation; no send-to-Amazon; no prices; no queues; no Sheets; no DB alignment; no output deletion; no Sellerboard or scanner estimates as final buying truth"
MANAGER_TASK_BOARD,Manager task board UI thread,11_MANAGER_TASK_BOARD_UI_THREAD.md,ready_to_open_now,2,ui_worker,"Maintain the read-only manager coding-jobs board from approved packets and MOT worklist evidence","Read-only V1 is implemented separately from the O/operator UI. It shows active manager jobs by lane and hides proved history by default.","A UI worker result showing board render proof, focused tests, and no task-status writes","No worker cycles; no task status edits; no queues; no prices; no Sheets; no DB alignment; no output deletion; no business decisions"
