event_ts_utc,sku,asin,hold_buy_box_missing_count,hold_outcome_unknown_count,allowed_to_act_count
2026-02-27T11:21:25Z,DEMO-SKU,DEMO-ASIN,0,0,1
2026-02-27T11:21:31Z,DEMO-SKU,DEMO-ASIN,0,0,1
2026-02-27T11:21:49Z,DEMO-SKU,DEMO-ASIN,0,0,1
2026-02-27T11:21:51Z,DEMO-SKU,DEMO-ASIN,0,0,1
2026-02-27T11:31:29Z,DEMO-SKU,DEMO-ASIN,0,0,1
2026-02-27T11:34:02Z,DEMO-GUARD-SKU,DEMO-GUARD-ASIN,0,0,1
2026-02-27T11:34:34Z,DEMO-GUARD-SKU,DEMO-GUARD-ASIN,0,0,1
2026-02-27T12:15:47Z,0G-JB6S-PN34,DEMO-ASIN-A,0,0,1
2026-02-27T12:15:47Z,ZZ-NOT-COHORT,DEMO-ASIN-B,0,0,1
2026-02-27T12:15:47Z,6V-EEC1-2S9Z,DEMO-ASIN-C,0,0,1
2026-02-27T12:19:57Z,0G-JB6S-PN34,DEMO-A,0,0,1
2026-02-27T12:19:57Z,ZZ-NOT-COHORT,DEMO-B,0,0,1
2026-02-27T12:19:57Z,6V-EEC1-2S9Z,DEMO-C,0,0,1
2026-02-27T12:19:57Z,0R-GRRH-W0Z9,DEMO-D,0,0,1
2026-02-27T12:19:57Z,2G-AYBQ-TUQG,DEMO-E,0,0,1
2026-02-27T12:24:11Z,0G-JB6S-PN34,DEMO-cohort,0,0,1
2026-02-27T12:24:11Z,ZZ-NOT-COHORT,DEMO-non_cohort,0,0,1
2026-02-27T12:24:11Z,6V-EEC1-2S9Z,DEMO-excluded,0,0,1
2026-02-27T12:24:11Z,0R-GRRH-W0Z9,DEMO-wrong_mode,0,0,1
2026-02-27T12:24:11Z,2G-AYBQ-TUQG,DEMO-FLAG-OFF,0,0,1
