offer_variant_id,sku,seller_id_canonical,fulfilment_channel,condition,shipping_template,variant_first_seen_utc,variant_last_seen_utc,variant_active_flag
ov_339114d7b097bfda0c2a,DEMO-SKU,our_seller,FBA,,UNKNOWN,2026-02-27T11:31:29Z,2026-02-27T11:31:29Z,1
ov_477f5eaed6e356fa1854,DEMO-SKU,rival_a,FBA,,UNKNOWN,2026-02-27T11:31:29Z,2026-02-27T11:31:29Z,1
ov_c545b1928e3d6abadae1,DEMO-GUARD-SKU,our_seller,FBA,,UNKNOWN,2026-02-27T11:34:34Z,2026-02-27T11:34:34Z,1
ov_e61c4eb0d1e6a12ea962,DEMO-GUARD-SKU,rival_a,FBA,,UNKNOWN,2026-02-27T11:34:34Z,2026-02-27T11:34:34Z,1
ov_c8b27ddf34e7a6c11411,0G-JB6S-PN34,our_seller,FBA,,UNKNOWN,2026-02-27T12:24:11Z,2026-02-27T12:24:11Z,1
ov_46e80808d9f919e238d0,0G-JB6S-PN34,rival_a,FBA,,UNKNOWN,2026-02-27T12:24:11Z,2026-02-27T12:24:11Z,1
ov_acb9ce730608f2add12a,ZZ-NOT-COHORT,our_seller,FBA,,UNKNOWN,2026-02-27T12:24:11Z,2026-02-27T12:24:11Z,1
ov_cbfed105b4169b70c8de,ZZ-NOT-COHORT,rival_a,FBA,,UNKNOWN,2026-02-27T12:24:11Z,2026-02-27T12:24:11Z,1
ov_180835eea32d559a977f,6V-EEC1-2S9Z,our_seller,FBA,,UNKNOWN,2026-02-27T12:24:11Z,2026-02-27T12:24:11Z,1
ov_c07e5f39737c4c093688,6V-EEC1-2S9Z,rival_a,FBA,,UNKNOWN,2026-02-27T12:24:11Z,2026-02-27T12:24:11Z,1
ov_492759bba0b551e0c9c8,0R-GRRH-W0Z9,our_seller,FBA,,UNKNOWN,2026-02-27T12:24:11Z,2026-02-27T12:24:11Z,1
ov_6f807681167752e385d8,0R-GRRH-W0Z9,rival_a,FBA,,UNKNOWN,2026-02-27T12:24:11Z,2026-02-27T12:24:11Z,1
ov_e133ae519b032cdc30f3,2G-AYBQ-TUQG,our_seller,FBA,,UNKNOWN,2026-02-27T12:24:11Z,2026-02-27T12:24:11Z,1
ov_015dca94479deb294b7a,2G-AYBQ-TUQG,rival_a,FBA,,UNKNOWN,2026-02-27T12:24:11Z,2026-02-27T12:24:11Z,1
