event_ts_utc,ts_utc,sku,asin,sku_or_asin,buy_box_present,outcome_known,we_present,action,reason,hold_reason,proposed_price_gbp,current_price_gbp,best_rival_effective_price_gbp,direct_competitor_variant_id,writer_mode
2026-02-27T11:21:25Z,2026-02-27T11:21:25Z,DEMO-SKU,DEMO-ASIN,DEMO-SKU,1,1,1,PROPOSED_WRITE,REGAIN,,10.30,10.40,10.30,ov_477f5eaed6e356fa1854,CODEX_H
2026-02-27T11:21:31Z,2026-02-27T11:21:31Z,DEMO-SKU,DEMO-ASIN,DEMO-SKU,1,1,1,PROPOSED_WRITE,REGAIN,,10.30,10.40,10.30,ov_477f5eaed6e356fa1854,CODEX_H
2026-02-27T11:21:49Z,2026-02-27T11:21:49Z,DEMO-SKU,DEMO-ASIN,DEMO-SKU,1,1,1,PROPOSED_WRITE,REGAIN,,10.30,10.40,10.30,ov_477f5eaed6e356fa1854,CODEX_H
2026-02-27T11:21:51Z,2026-02-27T11:21:51Z,DEMO-SKU,DEMO-ASIN,DEMO-SKU,1,1,1,PROPOSED_WRITE,REGAIN,,10.30,10.40,10.30,ov_477f5eaed6e356fa1854,CODEX_H
2026-02-27T11:31:29Z,2026-02-27T11:31:29Z,DEMO-SKU,DEMO-ASIN,DEMO-SKU,1,1,1,PROPOSED_WRITE,REGAIN,,10.30,10.40,10.30,ov_477f5eaed6e356fa1854,CODEX_H
2026-02-27T11:34:02Z,2026-02-27T11:34:02Z,DEMO-GUARD-SKU,DEMO-GUARD-ASIN,DEMO-GUARD-SKU,1,1,1,PROPOSED_WRITE,REGAIN,,10.30,10.40,10.30,ov_e61c4eb0d1e6a12ea962,CODEX_H
2026-02-27T11:34:34Z,2026-02-27T11:34:34Z,DEMO-GUARD-SKU,DEMO-GUARD-ASIN,DEMO-GUARD-SKU,1,1,1,PROPOSED_WRITE,REGAIN,,10.35,10.40,10.30,ov_e61c4eb0d1e6a12ea962,CODEX_H
2026-02-27T12:15:47Z,2026-02-27T12:15:47Z,0G-JB6S-PN34,DEMO-ASIN-A,0G-JB6S-PN34,1,1,1,PROPOSED_WRITE,REGAIN,,10.25,10.40,10.30,ov_46e80808d9f919e238d0,CODEX_H
2026-02-27T12:15:47Z,2026-02-27T12:15:47Z,ZZ-NOT-COHORT,DEMO-ASIN-B,ZZ-NOT-COHORT,1,1,1,PROPOSED_WRITE,REGAIN,,10.30,10.40,10.30,ov_cbfed105b4169b70c8de,CODEX_H
2026-02-27T12:15:47Z,2026-02-27T12:15:47Z,6V-EEC1-2S9Z,DEMO-ASIN-C,6V-EEC1-2S9Z,1,1,1,PROPOSED_WRITE,REGAIN,,10.30,10.40,10.30,ov_c07e5f39737c4c093688,CODEX_H
2026-02-27T12:19:57Z,2026-02-27T12:19:57Z,0G-JB6S-PN34,DEMO-A,0G-JB6S-PN34,1,1,1,PROPOSED_WRITE,REGAIN,,10.25,10.30,10.30,ov_46e80808d9f919e238d0,CODEX_H
2026-02-27T12:19:57Z,2026-02-27T12:19:57Z,ZZ-NOT-COHORT,DEMO-B,ZZ-NOT-COHORT,1,1,1,HOLD,REGAIN,,,10.30,10.30,ov_cbfed105b4169b70c8de,CODEX_H
2026-02-27T12:19:57Z,2026-02-27T12:19:57Z,6V-EEC1-2S9Z,DEMO-C,6V-EEC1-2S9Z,1,1,1,HOLD,REGAIN,,,10.30,10.30,ov_c07e5f39737c4c093688,CODEX_H
2026-02-27T12:19:57Z,2026-02-27T12:19:57Z,0R-GRRH-W0Z9,DEMO-D,0R-GRRH-W0Z9,1,1,1,PROPOSED_WRITE,REGAIN,,10.25,10.30,10.30,ov_6f807681167752e385d8,READ_ONLY
2026-02-27T12:19:57Z,2026-02-27T12:19:57Z,2G-AYBQ-TUQG,DEMO-E,2G-AYBQ-TUQG,1,1,1,PROPOSED_WRITE,REGAIN,,10.25,10.30,10.30,ov_015dca94479deb294b7a,CODEX_H
2026-02-27T12:24:11Z,2026-02-27T12:24:11Z,0G-JB6S-PN34,DEMO-cohort,0G-JB6S-PN34,1,1,1,PROPOSED_WRITE,REGAIN,,10.25,10.60,10.30,ov_46e80808d9f919e238d0,CODEX_H
2026-02-27T12:24:11Z,2026-02-27T12:24:11Z,ZZ-NOT-COHORT,DEMO-non_cohort,ZZ-NOT-COHORT,1,1,1,PROPOSED_WRITE,REGAIN,,10.30,10.60,10.30,ov_cbfed105b4169b70c8de,CODEX_H
2026-02-27T12:24:11Z,2026-02-27T12:24:11Z,6V-EEC1-2S9Z,DEMO-excluded,6V-EEC1-2S9Z,1,1,1,PROPOSED_WRITE,REGAIN,,10.30,10.60,10.30,ov_c07e5f39737c4c093688,CODEX_H
2026-02-27T12:24:11Z,2026-02-27T12:24:11Z,0R-GRRH-W0Z9,DEMO-wrong_mode,0R-GRRH-W0Z9,1,1,1,PROPOSED_WRITE,REGAIN,,10.25,10.60,10.30,ov_6f807681167752e385d8,READ_ONLY
2026-02-27T12:24:11Z,2026-02-27T12:24:11Z,2G-AYBQ-TUQG,DEMO-FLAG-OFF,2G-AYBQ-TUQG,1,1,1,PROPOSED_WRITE,REGAIN,,10.25,10.60,10.30,ov_015dca94479deb294b7a,CODEX_H
