asof_utc,seller_sku,asin,supplier_code,supplier_name,recommendation_status,reason_codes,recommended_qty_raw,recommended_qty_rounded,target_days_cover,days_cover_available_only,days_cover_total_pipeline,current_supplier_buy_cost_gbp,current_supplier_cost_source,market_price_gbp,market_price_basis_used,forward_roi_pct,forward_profit_per_unit_gbp,title,main_image,confidence_score,policy_version,cost_mode,recommendation_basis
2026-04-04T14:06:27Z,09-CZ59-Q6OR,B09BR88BPW,,DHB,full_restock,UI_PREVIEW_SAMPLE,12,12,30,0,0,2.49,ui_preview_sample,3.29,UI_PREVIEW_SAMPLE,32.13,0.8,Stoddard Icon White Standard Interdental Brushes - 8 Brush Plus 2 Free Brush in 1 Pack,https://m.media-amazon.com/images/I/717S2YgqeWL.jpg,80,o_ui_preview_v1,test,ui_preview_sample
2026-04-04T14:06:27Z,3L-1I88-19GF,,CUR005,DHB,full_restock,UI_PREVIEW_SAMPLE,24,24,30,0,0,4.35,ui_preview_sample,5.13,UI_PREVIEW_SAMPLE,17.93,0.78,Curaprox Interdental Brush Refills CPS 10 Regular Conique | White | for Tight Interdental Spaces | Ultra-Fine Filaments for Gentle Cleaning | 5-Pieces | Designed in Switzerland,https://m.media-amazon.com/images/I/41zER6h1xwL.jpg,80,o_ui_preview_v1,test,ui_preview_sample
2026-04-04T14:06:27Z,CJ-DLBW-HKFS,,,DHB,full_restock,UI_PREVIEW_SAMPLE,6,6,30,0,0,2.49,ui_preview_sample,3.29,UI_PREVIEW_SAMPLE,32.13,0.8,"Meditrade Nitril® Black Nitrile Examination Gloves - Powder-Free, Latex-Free, Multi Use Protective Exam Gloves - Size Large - Black - 100pcs",https://m.media-amazon.com/images/I/61pfyxo-gnL.jpg,80,o_ui_preview_v1,test,ui_preview_sample
2026-04-04T14:06:27Z,0N-JV0B-5UNV,B009L12MLO,,DHB,full_restock,UI_PREVIEW_SAMPLE,18,18,30,0,0,2.49,ui_preview_sample,2.94,UI_PREVIEW_SAMPLE,18.07,0.45,"Proxysoft Dental Floss for Bridges and Implants 30 Strands - Floss Threaders for Bridges, Dental Implants, Braces with Extra-Thick Proxy Brush for Optimal Oral Hygiene -Teeth Bridge and Implant Cleaners",https://m.media-amazon.com/images/I/41GzvqRXKdL.jpg,80,o_ui_preview_v1,test,ui_preview_sample
2026-04-04T14:06:27Z,7R-DKJR-F0UF,,9310346414302,Stax,full_restock,UI_PREVIEW_SAMPLE,30,30,30,0,0,5.87,ui_preview_sample,7.75,UI_PREVIEW_SAMPLE,32.03,1.88,"Wiltshire Staysharp Triple Rivet Multi-Purpose Paring Knife 9cm, Stainless Steel Sharp Blade for Chopping Cutting & Slicing, Built-in Sharpener, Slim Scabbard, Ergonomic Triple Rivet Handle",https://m.media-amazon.com/images/I/615xDleH3EL.jpg,80,o_ui_preview_v1,test,ui_preview_sample
2026-04-04T14:06:27Z,M4-MV10-9TX7,,113299,Stax,full_restock,UI_PREVIEW_SAMPLE,8,8,30,0,0,1.04,ui_preview_sample,1.23,UI_PREVIEW_SAMPLE,18.27,0.19,"Tala 40ml Mini Glass Measuring Jug, 10A26012, Transparent",https://m.media-amazon.com/images/I/71-do97LXSL.jpg,80,o_ui_preview_v1,test,ui_preview_sample
2026-04-04T14:06:27Z,YV-2E21-62SB,,5016318100283,Stax,test_restock,"UI_PREVIEW_SAMPLE,TEST_SPEND_CAP_APPLIED",15,15,10,0,0,2.63,ui_preview_sample,3.47,UI_PREVIEW_SAMPLE,31.94,0.84,"Liquid Skin Liquid Plaster - Waterproof Liquid Bandage for Small Cuts, Wounds, Cracked Skin - Promotes Faster Natural Healing - No Sting, Non-Burning, Safe for Kids Formula - Pack of 2 x 1g Pipettes",https://m.media-amazon.com/images/I/71LhaDa9QIL.jpg,80,o_ui_preview_v1,test,ui_preview_sample
2026-04-04T14:06:27Z,P7-91M2-092T,,5647107,TD Synnex,test_restock,"UI_PREVIEW_SAMPLE,TEST_SPEND_CAP_APPLIED",20,20,10,0,0,3.85,ui_preview_sample,4.54,UI_PREVIEW_SAMPLE,17.92,0.69,Crucial RAM 4GB DDR4 2666MHz CL19 Desktop Memory CT4G4DFS8266,https://m.media-amazon.com/images/I/61LjnKSImPL.jpg,80,o_ui_preview_v1,test,ui_preview_sample
2026-04-04T14:06:27Z,ZU-VG38-OF3L,,10290397,TD Synnex,test_restock,"UI_PREVIEW_SAMPLE,TEST_SPEND_CAP_APPLIED",10,10,10,0,0,18.54,ui_preview_sample,24.47,UI_PREVIEW_SAMPLE,31.98,5.93,"OtterBox Symmetry Folio Case for iPad Pro 13"" (M5/M4), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Purple",https://m.media-amazon.com/images/I/612OYV3aA+L.jpg,80,o_ui_preview_v1,test,ui_preview_sample
2026-04-04T14:06:27Z,1D-E3I8-TUK8,B00O3XUG5E,,TD Synnex,test_restock,"UI_PREVIEW_SAMPLE,TEST_SPEND_CAP_APPLIED",36,36,10,0,0,2.49,ui_preview_sample,2.94,UI_PREVIEW_SAMPLE,18.07,0.45,"Epson C13T295000 - WF100W MAINTENANCE BOX,Black",https://m.media-amazon.com/images/I/316alguRfML.jpg,80,o_ui_preview_v1,test,ui_preview_sample
