sku,pricing_writer_mode,effective_utc,note
4W-VS57-BV6A,READ_ONLY,2026-02-17T00:00:00Z,stage_a_read_only_soak_default
AX-NKNU-29C1,READ_ONLY,2026-02-17T00:00:00Z,stage_a_read_only_soak_default
JB-RGB6-LZOJ,READ_ONLY,2026-02-17T00:00:00Z,stage_a_read_only_soak_default
L1-54EX-56YC,READ_ONLY,2026-02-17T00:00:00Z,stage_a_read_only_soak_default
RZ-6ZL9-CZ7J,READ_ONLY,2026-02-17T00:00:00Z,stage_a_read_only_soak_default
TJ-6LOP-OPEU,READ_ONLY,2026-02-17T00:00:00Z,stage_a_read_only_soak_default
VF-3T0K-DR5O,READ_ONLY,2026-02-17T00:00:00Z,stage_a_read_only_soak_default
XE-YPAI-HX9F,READ_ONLY,2026-02-17T00:00:00Z,stage_a_read_only_soak_default
XH-0LAE-FQO5,READ_ONLY,2026-02-17T00:00:00Z,stage_a_read_only_soak_default
XY-UM2X-TPS3,READ_ONLY,2026-02-17T00:00:00Z,stage_a_read_only_soak_default
YC-3L3M-BV48,READ_ONLY,2026-02-17T00:00:00Z,stage_a_read_only_soak_default
