probe_event_id,asof_date,response_utc,response_window_minutes,marketplace,sku,asin,competitor_moved_flag,competitor_move_direction,competitor_move_size_gbp,reaction_lag_minutes,buy_box_price_gbp_after,buy_box_channel_after,buy_box_owner_after,our_price_gbp_after,outcome_code,source,notes
probe_JB-RGB6-LZOJ_20260211T161331Z,2026-02-11,2026-02-11T16:18:31Z,5,UK,JB-RGB6-LZOJ,B0001P0DLU,0,flat,0.00,,6.35,FBM,,9.99,pending_observation,H006_seed_worker_probe_logs,seed_response_window
probe_JB-RGB6-LZOJ_20260211T161331Z,2026-02-11,2026-02-11T16:28:31Z,15,UK,JB-RGB6-LZOJ,B0001P0DLU,0,flat,0.00,,6.35,FBM,,9.99,pending_observation,H006_seed_worker_probe_logs,seed_response_window
safe_mode_JB-RGB6-LZOJ_20260211,2026-02-11,2026-02-11T17:10:20Z,5,UK,JB-RGB6-LZOJ,B0001P0DLU,0,flat,0.00,,5.95,FBM,,9.99,pending_observation,H007_run_safe_mode_pilot,safe_mode_placeholder_response_window
probe_JB-RGB6-LZOJ_20260211T161331Z,2026-02-11,2026-02-11T17:13:31Z,60,UK,JB-RGB6-LZOJ,B0001P0DLU,0,flat,0.00,,6.35,FBM,,9.99,pending_observation,H006_seed_worker_probe_logs,seed_response_window
safe_mode_JB-RGB6-LZOJ_20260211,2026-02-11,2026-02-11T17:20:20Z,15,UK,JB-RGB6-LZOJ,B0001P0DLU,0,flat,0.00,,5.95,FBM,,9.99,pending_observation,H007_run_safe_mode_pilot,safe_mode_placeholder_response_window
h_cycle_JB-RGB6-LZOJ_20260211T172704Z,2026-02-11,2026-02-11T17:32:04Z,5,UK,JB-RGB6-LZOJ,B0001P0DLU,0,flat,0.00,,5.95,FBM,,9.99,pending_observation,run_H_pricing_cycle,executioner_placeholder_response_window
h_cycle_JB-RGB6-LZOJ_20260211T172704Z,2026-02-11,2026-02-11T17:42:04Z,15,UK,JB-RGB6-LZOJ,B0001P0DLU,0,flat,0.00,,5.95,FBM,,9.99,pending_observation,run_H_pricing_cycle,executioner_placeholder_response_window
safe_mode_JB-RGB6-LZOJ_20260211,2026-02-11,2026-02-11T18:05:20Z,60,UK,JB-RGB6-LZOJ,B0001P0DLU,0,flat,0.00,,5.95,FBM,,9.99,pending_observation,H007_run_safe_mode_pilot,safe_mode_placeholder_response_window
h_cycle_JB-RGB6-LZOJ_20260211T172704Z,2026-02-11,2026-02-11T18:27:04Z,60,UK,JB-RGB6-LZOJ,B0001P0DLU,0,flat,0.00,,5.95,FBM,,9.99,pending_observation,run_H_pricing_cycle,executioner_placeholder_response_window
probe_JB-RGB6-LZOJ_20260211T161331Z,2026-02-11,2026-02-11T20:13:31Z,240,UK,JB-RGB6-LZOJ,B0001P0DLU,0,flat,0.00,,6.35,FBM,,9.99,pending_observation,H006_seed_worker_probe_logs,seed_response_window
