asin,seller_sku,total_quantity,available,unsellable,researching,inbound_working,inbound_shipped,inbound_receiving,reserved_transfers,reserved_processing,reserved_customer,last_updated_time
B00BWU7MNU,YO-EKK2-FRCC,5,5,0,0,0,0,0,0,0,0,2026-02-14T18:02:36Z
B07J9JGZZV,Z7-26PV-O9LR,23,22,0,1,0,0,0,1,0,0,2026-02-18T04:20:37Z
B0D3JBBGSB,ZT-QPY3-P24I,2,2,0,0,0,0,0,0,0,0,2026-02-07T17:10:10Z
B0BLQRDTLL,1W-8WI9-7AUU,0,0,0,0,0,0,0,0,0,0,2025-08-22T16:47:11Z
B075WYWJ5L,2L-M26G-560I,0,0,0,0,0,0,0,0,0,0,2025-11-03T09:50:02Z
B07NGGSR3D,2U-4KLP-68HB,0,0,0,0,0,0,0,0,0,0,2025-05-30T20:13:47Z
B07L6H9GZ2,2X-8XI7-C9T5,0,0,0,0,0,0,0,0,0,0,
B0CP69JJGG,3B-3H3V-Z93T,0,0,0,0,0,0,0,0,0,0,2026-02-03T17:02:15Z
B0BZQCZYN7,3C-5W5L-CT0T,0,0,0,0,0,0,0,0,0,0,2025-08-26T00:13:15Z
B0DN6KL887,3E-62Y1-WPYU,0,0,0,0,0,0,0,0,0,0,2026-01-04T18:23:49Z
B012DV4306,3E-KHO2-YIAU,0,0,0,0,0,0,0,0,0,0,2025-07-11T23:19:57Z
B00SWSU5BG,3N-WGU4-MT5X,0,0,0,0,0,0,0,0,0,0,
B0BBWH7DBT,3Q-8PJ1-BLBC,0,0,0,0,0,0,0,0,0,0,
0786964502,3Q-JVVB-BIT7,0,0,0,0,0,0,0,0,0,0,2025-05-25T20:16:45Z
B06XGSJS7N,3T-6QPR-E2MV,0,0,0,0,0,0,0,0,0,0,2026-01-11T21:08:18Z
