Order number_norm,sales,ship_x,promo_x,sb_total,Order ID,price,ship_y,gift,promo_y,our_total,diff
026-5281009-1209110,13.97,-4.16,0.0,9.81,026-5281009-1209110,8.98,4.99,0.0,0.0,13.97,4.16
026-5294262-1399568,35.91,0.0,0.0,35.91,026-5294262-1399568,35.91,0.42,0.0,0.0,36.33,0.42
026-5358818-7723539,14.11,0.0,0.0,14.11,026-5358818-7723539,14.11,0.62,0.0,0.0,14.729999999999999,0.62
026-5398879-9685168,10.99,0.0,0.0,10.99,026-5398879-9685168,10.99,3.74,0.0,0.0,14.73,3.74
026-5493567-7651516,9.61,0.0,0.0,9.61,026-5493567-7651516,9.61,0.75,0.0,0.0,10.36,0.75
026-5540812-9057118,19.880000000000003,-2.78,0.0,17.1,026-5540812-9057118,16.55,3.33,0.0,0.0,19.880000000000003,2.78
026-5711108-4739502,6.8,0.0,0.0,6.8,026-5711108-4739502,6.8,1.25,0.0,0.0,8.05,1.25
026-5720558-8867535,17.8,-1.67,0.0,16.130000000000003,026-5720558-8867535,15.8,2.0,0.0,0.0,17.8,1.67
026-5779852-3693911,36.59,-4.16,0.0,32.43000000000001,026-5779852-3693911,31.6,4.99,0.0,0.0,36.59,4.16
026-5816647-1053143,19.7,0.0,0.0,19.7,026-5816647-1053143,19.7,0.83,0.0,0.0,20.529999999999998,0.83
026-6096837-8076365,2.98,0.0,0.0,2.98,026-6096837-8076365,2.98,0.33,0.0,0.0,3.31,0.33
026-6110623-6294738,10.06,0.0,0.0,10.06,026-6110623-6294738,10.06,1.06,0.0,0.0,11.120000000000001,1.06
026-6162127-7623556,25.72,0.0,0.0,25.72,026-6162127-7623556,25.72,3.74,0.0,0.0,29.46,3.74
026-6307031-2176302,12.98,-2.08,0.0,10.9,026-6307031-2176302,10.49,2.49,0.0,0.0,12.98,2.08
026-6356718-6697154,5.85,0.0,0.0,5.85,026-6356718-6697154,5.85,0.66,0.0,0.0,6.51,0.66
026-6358115-8330741,7.49,0.0,0.0,7.49,026-6358115-8330741,7.49,0.5,0.0,0.0,7.99,0.5
026-6450338-0498700,3.0,0.0,0.0,3.0,026-6450338-0498700,3.0,1.87,0.0,0.0,4.87,1.87
026-6511699-9926730,8.79,0.0,0.0,8.79,026-6511699-9926730,8.79,0.2,0.0,0.0,8.989999999999998,0.2
026-6552353-1846715,39.99,0.0,0.0,39.99,026-6552353-1846715,39.99,3.74,0.0,0.0,43.730000000000004,3.74
026-6573373-8957904,4.63,-1.39,0.0,3.24,026-6573373-8957904,2.97,1.66,0.0,0.0,4.63,1.39
026-6639258-5000337,9.94,0.0,0.0,9.94,026-6639258-5000337,9.94,0.93,0.0,0.0,10.87,0.93
026-6695852-3921169,11.19,-4.16,0.0,7.029999999999999,026-6695852-3921169,6.2,4.99,0.0,0.0,11.190000000000001,4.16
026-6784484-7159552,2.97,0.0,0.0,2.97,026-6784484-7159552,2.97,0.33,0.0,0.0,3.3000000000000003,0.33
026-6843502-5282752,4.26,0.0,0.0,4.26,026-6843502-5282752,4.26,0.23,0.0,0.0,4.49,0.23
026-6896898-5265919,16.13,-2.77,0.0,13.36,026-6896898-5265919,12.8,3.33,0.0,0.0,16.130000000000003,2.77
026-6902935-4072349,9.49,0.0,0.0,9.49,026-6902935-4072349,9.49,0.33,0.0,0.0,9.82,0.33
026-6913307-1715501,6.73,0.0,0.0,6.73,026-6913307-1715501,6.73,0.93,0.0,0.0,7.66,0.93
026-6958448-5352365,7.97,0.0,0.0,7.97,026-6958448-5352365,7.97,0.33,0.0,0.0,8.299999999999999,0.33
026-7040921-0665915,3.3,0.0,0.0,3.3,026-7040921-0665915,3.3,0.4,0.0,0.0,3.6999999999999997,0.4
026-7067647-5523504,3.0,0.0,0.0,3.0,026-7067647-5523504,3.0,0.5,0.0,0.0,3.5,0.5
026-7368424-1753957,7.35,-0.28,0.0,7.069999999999999,026-7368424-1753957,7.02,0.33,0.0,0.0,7.35,0.28
026-7548895-0210757,15.8,0.0,0.0,15.8,026-7548895-0210757,15.8,1.11,0.0,0.0,16.91,1.11
026-7707668-7280324,7.0,0.0,0.0,7.0,026-7707668-7280324,7.0,0.12,0.0,0.0,7.12,0.12
026-7802097-4705940,8.99,0.0,0.0,8.99,026-7802097-4705940,8.99,1.87,0.0,0.0,10.86,1.87
026-8005116-3588342,16.22,0.0,0.0,16.22,026-8005116-3588342,16.22,0.65,0.0,0.0,16.869999999999997,0.65
026-8104747-6816319,7.89,-1.65,0.0,6.24,026-8104747-6816319,5.9,1.99,0.0,0.0,7.890000000000001,1.65
026-8374386-1666754,9.45,-1.39,0.0,8.059999999999999,026-8374386-1666754,7.79,1.66,0.0,0.0,9.45,1.39
026-8772352-4054745,11.99,0.0,0.0,11.99,026-8772352-4054745,11.99,0.82,0.0,0.0,12.81,0.82
026-8854156-9804336,6.2,0.0,0.0,6.2,026-8854156-9804336,6.2,0.74,0.0,0.0,6.94,0.74
026-8887771-8761901,30.71,-4.15,0.0,26.560000000000002,026-8887771-8761901,25.72,4.99,0.0,0.0,30.71,4.15
026-8919267-6927553,9.11,0.0,0.0,9.11,026-8919267-6927553,9.11,0.75,0.0,0.0,9.86,0.75
026-8933633-2485104,6.93,-0.16,0.0,6.77,026-8933633-2485104,6.8,0.56,0.0,0.0,7.359999999999999,0.59
026-9156581-9537959,5.98,0.0,0.0,5.98,026-9156581-9537959,5.98,0.33,0.0,0.0,6.3100000000000005,0.33
026-9237302-7183523,9.95,-2.08,0.0,7.869999999999999,026-9237302-7183523,7.45,2.5,0.0,0.0,9.95,2.08
026-9253711-5070740,5.83,0.0,0.0,5.83,026-9253711-5070740,5.83,0.55,0.0,0.0,6.38,0.55
026-9401522-3965114,2.97,0.0,0.0,2.97,026-9401522-3965114,2.97,0.83,0.0,0.0,3.8000000000000003,0.83
026-9557495-0719537,10.59,-4.99,0.0,5.6,026-9557495-0719537,4.6,5.99,0.0,0.0,10.59,4.99
202-0039665-7421126,10.1,0.0,0.0,10.1,202-0039665-7421126,10.1,1.49,0.0,0.0,11.59,1.49
202-0129482-4903538,7.22,0.0,0.0,7.22,202-0129482-4903538,7.22,0.93,0.0,0.0,8.15,0.93
202-0238929-0073922,8.17,0.0,0.0,8.17,202-0238929-0073922,8.17,0.81,0.0,0.0,8.98,0.81
202-0241751-4717923,6.8,0.0,0.0,6.8,202-0241751-4717923,6.8,0.62,0.0,0.0,7.42,0.62
202-0254015-9324314,7.29,0.0,0.0,7.29,202-0254015-9324314,7.29,1.12,0.0,0.0,8.41,1.12
202-0295789-6275548,40.24,-0.53,0.0,39.71,202-0295789-6275548,39.92,2.25,0.0,0.0,42.17,2.46
202-0397344-2249934,6.45,0.0,0.0,6.45,202-0397344-2249934,6.45,0.93,0.0,0.0,7.38,0.93
202-0437837-5168327,27.68,0.0,0.0,27.68,202-0437837-5168327,27.68,1.83,0.0,0.0,29.509999999999998,1.83
202-0441217-6861935,5.03,0.0,0.0,5.03,202-0441217-6861935,5.03,0.33,0.0,0.0,5.36,0.33
202-0505749-4836326,10.04,-1.39,0.0,8.649999999999999,202-0505749-4836326,8.38,1.66,0.0,0.0,10.040000000000001,1.39
202-0536725-2848338,9.49,0.0,0.0,9.49,202-0536725-2848338,9.49,0.82,0.0,0.0,10.31,0.82
202-0595242-1140303,9.99,0.0,0.0,9.99,202-0595242-1140303,9.99,0.42,0.0,0.0,10.41,0.42
202-0600211-4479531,4.01,0.0,0.0,4.01,202-0600211-4479531,4.01,0.12,0.0,0.0,4.13,0.12
202-0704749-1637148,32.54,-4.15,0.0,28.39,202-0704749-1637148,27.55,4.99,0.0,0.0,32.54,4.15
202-0812725-6964365,2.97,0.0,0.0,2.97,202-0812725-6964365,2.97,0.56,0.0,0.0,3.5300000000000002,0.56
202-1003931-1371555,14.95,-4.16,0.0,10.79,202-1003931-1371555,9.96,4.99,0.0,0.0,14.950000000000001,4.16
202-1014380-3385943,32.54,-4.16,0.0,28.38,202-1014380-3385943,27.55,4.99,0.0,0.0,32.54,4.16
202-1423804-0412333,9.23,-2.08,0.0,7.15,202-1423804-0412333,6.73,2.5,0.0,0.0,9.23,2.08
202-1496545-2486748,6.04,0.0,0.0,6.04,202-1496545-2486748,6.04,0.74,0.0,0.0,6.78,0.74
202-1541862-4187557,15.94,0.0,0.0,15.94,202-1541862-4187557,15.94,0.66,0.0,0.0,16.599999999999998,0.66
202-1552610-8823552,6.9,0.0,0.0,6.9,202-1552610-8823552,6.9,1.87,0.0,0.0,8.77,1.87
202-1625551-8341933,23.7,0.0,0.0,23.7,202-1625551-8341933,23.7,1.41,0.0,0.0,25.11,1.41
202-1712276-1581150,11.19,-2.08,0.0,9.11,202-1712276-1581150,8.7,2.49,0.0,0.0,11.19,2.08
202-1764272-7422733,5.07,0.0,0.0,5.07,202-1764272-7422733,5.07,0.33,0.0,0.0,5.4,0.33
202-1819023-4430769,5.98,0.0,0.0,5.98,202-1819023-4430769,5.98,0.55,0.0,0.0,6.53,0.55
202-1847239-8889133,4.45,0.0,0.0,4.45,202-1847239-8889133,4.45,0.42,0.0,0.0,4.87,0.42
202-1854630-5117908,11.99,0.0,0.0,11.99,202-1854630-5117908,11.99,0.55,0.0,0.0,12.540000000000001,0.55
202-1875938-0083536,7.02,0.0,0.0,7.02,202-1875938-0083536,7.02,0.42,0.0,0.0,7.4399999999999995,0.42
202-1908604-0278741,25.72,0.0,0.0,25.72,202-1908604-0278741,25.72,1.66,0.0,0.0,27.38,1.66
202-2196159-2295562,18.59,-4.16,0.0,14.43,202-2196159-2295562,13.6,4.99,0.0,0.0,18.59,4.16
202-2403781-2889131,40.33,0.0,0.0,40.33,202-2403781-2889131,40.33,1.25,0.0,0.0,41.58,1.25
202-2469865-5813139,12.27,-4.16,0.0,8.11,202-2469865-5813139,7.28,4.99,0.0,0.0,12.27,4.16
202-2621970-3528358,10.85,-2.08,0.0,8.77,202-2621970-3528358,8.35,2.5,0.0,0.0,10.85,2.08
202-2685883-6793131,6.95,0.0,0.0,6.95,202-2685883-6793131,6.95,0.74,0.0,0.0,7.69,0.74
202-2748911-4073104,7.21,0.0,0.0,7.21,202-2748911-4073104,7.21,0.82,0.0,0.0,8.03,0.82
202-2769351-9376308,5.98,0.0,0.0,5.98,202-2769351-9376308,5.98,0.83,0.0,0.0,6.8100000000000005,0.83
202-2798742-0622746,7.9,0.0,0.0,7.9,202-2798742-0622746,7.9,0.93,0.0,0.0,8.83,0.93
202-2858479-4455561,14.89,0.0,0.0,14.89,202-2858479-4455561,14.89,0.47,0.0,0.0,15.360000000000001,0.47
202-3162028-6322703,49.99,0.0,0.0,49.99,202-3162028-6322703,49.99,1.87,0.0,0.0,51.86,1.87
202-3265200-5496308,13.97,-4.15,0.0,9.82,202-3265200-5496308,8.98,4.99,0.0,0.0,13.97,4.15
202-3334028-7530749,14.98,-4.16,0.0,10.82,202-3334028-7530749,9.99,9.98,0.0,0.0,19.97,9.15
202-3452892-9273968,6.63,-0.55,0.0,6.08,202-3452892-9273968,5.97,0.66,0.0,0.0,6.63,0.55
202-3492160-5639552,7.2,0.0,0.0,7.2,202-3492160-5639552,7.2,0.42,0.0,0.0,7.62,0.42
202-3518293-3245960,3.08,0.0,0.0,3.08,202-3518293-3245960,3.08,0.8,0.0,0.0,3.88,0.8
202-3874255-0901110,25.72,0.0,0.0,25.72,202-3874255-0901110,25.72,0.55,0.0,0.0,26.27,0.55
202-3990383-8772360,9.67,-2.08,0.0,7.59,202-3990383-8772360,7.17,2.5,0.0,0.0,9.67,2.08
202-4275305-8136366,2.97,0.0,0.0,2.97,202-4275305-8136366,2.97,0.47,0.0,0.0,3.4400000000000004,0.47
202-4311354-7842715,10.15,0.0,0.0,10.15,202-4311354-7842715,10.15,2.44,0.0,0.0,12.59,2.44
202-4460947-4149164,12.19,-4.16,0.0,8.03,202-4460947-4149164,7.2,4.99,0.0,0.0,12.190000000000001,4.16
202-4514578-4627557,5.83,0.0,0.0,5.83,202-4514578-4627557,5.83,0.42,0.0,0.0,6.25,0.42
202-4538923-1077934,9.56,-0.32,0.0,9.24,202-4538923-1077934,9.18,0.38,0.0,0.0,9.56,0.32
202-4543551-9302701,6.9,-0.14,0.0,6.760000000000001,202-4543551-9302701,6.8,0.5,0.0,0.0,7.3,0.54
202-4769055-5685921,7.3,0.0,0.0,7.3,202-4769055-5685921,7.3,0.28,0.0,0.0,7.58,0.28
202-4838337-5480350,7.49,0.0,0.0,7.49,202-4838337-5480350,7.49,0.56,0.0,0.0,8.05,0.56
202-4873879-8386748,8.3,0.0,0.0,8.3,202-4873879-8386748,8.3,0.2,0.0,0.0,8.5,0.2
202-4925964-6033162,5.98,0.0,0.0,5.98,202-4925964-6033162,5.98,0.56,0.0,0.0,6.540000000000001,0.56
202-5006872-8168369,9.48,0.0,0.0,9.48,202-5006872-8168369,9.48,0.33,0.0,0.0,9.81,0.33
202-5295040-3339502,11.08,-1.66,0.0,9.42,202-5295040-3339502,9.09,1.99,0.0,0.0,11.08,1.66
202-5301795-9833104,25.72,0.0,0.0,25.72,202-5301795-9833104,25.72,0.83,0.0,0.0,26.549999999999997,0.83
202-5339655-5165145,11.65,0.0,0.0,11.65,202-5339655-5165145,11.65,0.62,0.0,0.0,12.27,0.62
202-5383017-3820329,15.39,-2.08,0.0,13.31,202-5383017-3820329,12.89,2.5,0.0,0.0,15.39,2.08
202-5509354-0405104,5.98,0.0,0.0,5.98,202-5509354-0405104,5.98,0.55,0.0,0.0,6.53,0.55
202-5544674-2695501,5.78,0.0,0.0,5.78,202-5544674-2695501,5.78,0.42,0.0,0.0,6.2,0.42
202-5551521-8468307,10.49,-1.25,0.0,9.24,202-5551521-8468307,8.99,1.5,0.0,0.0,10.49,1.25
202-5590594-4105109,15.98,0.0,0.0,15.98,202-5590594-4105109,15.98,2.25,0.0,0.0,18.23,2.25
202-5595557-5968366,12.2,0.0,0.0,12.2,202-5595557-5968366,12.2,0.27,0.0,0.0,12.469999999999999,0.27
202-5660924-7201127,3.04,0.0,0.0,3.04,202-5660924-7201127,3.04,0.33,0.0,0.0,3.37,0.33
202-5766967-4389119,23.98,-4.16,0.0,19.82,202-5766967-4389119,18.99,4.99,0.0,0.0,23.979999999999997,4.16
202-5853326-9314760,8.99,0.0,0.0,8.99,202-5853326-9314760,8.99,0.93,0.0,0.0,9.92,0.93
202-5995819-8189960,5.83,0.0,0.0,5.83,202-5995819-8189960,5.83,0.64,0.0,0.0,6.47,0.64
202-6012348-0785129,6.98,-0.84,0.0,6.140000000000001,202-6012348-0785129,5.98,1.0,0.0,0.0,6.98,0.84
202-6071212-1761115,25.84,-4.16,0.0,21.68,202-6071212-1761115,20.85,4.99,0.0,0.0,25.840000000000003,4.16
202-6164828-7590752,4.9,0.0,0.0,4.9,202-6164828-7590752,4.9,0.42,0.0,0.0,5.32,0.42
202-6335285-0893100,2.97,0.0,0.0,2.97,202-6335285-0893100,2.97,0.75,0.0,0.0,3.72,0.75
202-6349243-7696313,7.02,-0.29,0.0,6.7299999999999995,202-6349243-7696313,6.8,0.99,0.0,0.0,7.79,1.06
202-6464572-8395522,27.38,-1.39,0.0,25.99,202-6464572-8395522,25.72,1.66,0.0,0.0,27.38,1.39
202-6520002-6573148,10.18,-0.55,0.0,9.629999999999999,202-6520002-6573148,9.52,0.66,0.0,0.0,10.18,0.55
202-6585336-7162757,7.98,0.0,0.0,7.98,202-6585336-7162757,7.98,0.84,0.0,0.0,8.82,0.84
202-6593109-2923521,8.99,0.0,0.0,8.99,202-6593109-2923521,8.99,0.62,0.0,0.0,9.61,0.62
202-6696040-6233149,11.49,-2.08,0.0,9.41,202-6696040-6233149,8.99,2.5,0.0,0.0,11.49,2.08
202-6780698-5914753,6.8,0.0,0.0,6.8,202-6780698-5914753,6.8,0.07,0.0,0.0,6.87,0.07
202-6994178-6437922,6.96,-0.6,0.0,6.36,202-6994178-6437922,6.25,0.71,0.0,0.0,6.96,0.6
202-7159111-3348340,6.95,0.0,0.0,6.95,202-7159111-3348340,6.95,0.53,0.0,0.0,7.48,0.53
202-7194557-3943564,6.2,0.0,0.0,6.2,202-7194557-3943564,6.2,0.33,0.0,0.0,6.53,0.33
202-7329328-2763559,6.9,0.0,0.0,6.9,202-7329328-2763559,6.9,0.93,0.0,0.0,7.83,0.93
202-7828210-9098715,21.42,0.0,0.0,21.42,202-7828210-9098715,21.42,1.66,0.0,0.0,23.080000000000002,1.66
202-7843204-9651530,49.99,0.0,0.0,49.99,202-7843204-9651530,49.99,1.99,0.0,0.0,51.980000000000004,1.99
202-7902895-6117910,7.97,0.0,0.0,7.97,202-7902895-6117910,7.97,0.82,0.0,0.0,8.79,0.82
202-8015450-3808332,17.8,0.0,0.0,17.8,202-8015450-3808332,17.8,0.82,0.0,0.0,18.62,0.82
202-8041431-6495515,6.9,0.0,0.0,6.9,202-8041431-6495515,6.9,1.87,0.0,0.0,8.77,1.87
202-8097399-7302733,7.05,0.0,0.0,7.05,202-8097399-7302733,7.05,0.83,0.0,0.0,7.88,0.83
202-8329196-6345900,9.99,0.0,0.0,9.99,202-8329196-6345900,9.99,0.75,0.0,0.0,10.74,0.75
202-8341429-7516310,13.66,-4.16,0.0,9.5,202-8341429-7516310,8.67,4.99,0.0,0.0,13.66,4.16
202-8358178-3680330,27.55,0.0,0.0,27.55,202-8358178-3680330,27.55,1.66,0.0,0.0,29.21,1.66
202-8582848-3581108,6.8,0.0,0.0,6.8,202-8582848-3581108,6.8,0.94,0.0,0.0,7.74,0.94
202-8601449-4206740,15.99,0.0,0.0,15.99,202-8601449-4206740,15.99,0.82,0.0,0.0,16.81,0.82
202-8634247-8230756,7.01,0.0,0.0,7.01,202-8634247-8230756,7.01,0.24,0.0,0.0,7.25,0.24
202-8772957-0561968,79.99,0.0,0.0,79.99,202-8772957-0561968,79.99,0.5,0.0,0.0,80.49,0.5
202-8779431-8989906,5.2,0.0,0.0,5.2,202-8779431-8989906,5.2,0.62,0.0,0.0,5.82,0.62
202-8851004-4707529,19.55,-4.16,0.0,15.39,202-8851004-4707529,14.56,4.99,0.0,0.0,19.55,4.16
202-8986915-4556366,7.9,0.0,0.0,7.9,202-8986915-4556366,7.9,0.55,0.0,0.0,8.450000000000001,0.55
202-9009607-5536300,24.14,-3.12,0.0,21.02,202-9009607-5536300,20.4,3.74,0.0,0.0,24.14,3.12
202-9042806-7642704,11.21,-1.04,0.0,10.170000000000002,202-9042806-7642704,9.96,1.25,0.0,0.0,11.21,1.04
202-9048636-2846749,8.22,-0.25,0.0,7.970000000000001,202-9048636-2846749,7.92,0.3,0.0,0.0,8.22,0.25
202-9085322-2117954,9.18,0.0,0.0,9.18,202-9085322-2117954,9.18,0.93,0.0,0.0,10.11,0.93
202-9109674-1320334,5.45,0.0,0.0,5.45,202-9109674-1320334,5.45,0.53,0.0,0.0,5.98,0.53
202-9120441-4230732,35.91,0.0,0.0,35.91,202-9120441-4230732,35.91,1.66,0.0,0.0,37.56999999999999,1.66
202-9173129-0888362,8.67,0.0,0.0,8.67,202-9173129-0888362,8.67,0.82,0.0,0.0,9.49,0.82
202-9188248-1867506,13.9,0.0,0.0,13.9,202-9188248-1867506,13.9,0.04,0.0,0.0,13.94,0.04
202-9210357-8836321,2.97,0.0,0.0,2.97,202-9210357-8836321,2.97,0.27,0.0,0.0,3.24,0.27
202-9455348-2699565,21.83,-0.42,0.0,21.409999999999997,202-9455348-2699565,21.33,0.5,0.0,0.0,21.83,0.42
202-9482098-0801116,31.1,0.0,0.0,31.1,202-9482098-0801116,31.1,1.99,0.0,0.0,33.09,1.99
202-9514895-9495550,4.29,-1.1,0.0,3.19,202-9514895-9495550,2.97,1.32,0.0,0.0,4.29,1.1
202-9539037-5863548,6.22,0.0,0.0,6.22,202-9539037-5863548,6.22,0.62,0.0,0.0,6.84,0.62
202-9551332-2497957,6.8,0.0,0.0,6.8,202-9551332-2497957,6.8,0.37,0.0,0.0,7.17,0.37
202-9597232-5338759,30.17,0.0,0.0,30.17,202-9597232-5338759,30.17,0.62,0.0,0.0,30.790000000000003,0.62
202-9642053-2260348,13.99,0.0,0.0,13.99,202-9642053-2260348,13.99,0.42,0.0,0.0,14.41,0.42
202-9885947-1106728,79.99,0.0,0.0,79.99,202-9885947-1106728,79.99,0.82,0.0,0.0,80.80999999999999,0.82
202-9924679-4001149,20.71,-0.59,0.0,20.12,202-9924679-4001149,20.0,0.71,0.0,0.0,20.71,0.59
202-9967421-7999517,6.95,0.0,0.0,6.95,202-9967421-7999517,6.95,0.53,0.0,0.0,7.48,0.53
203-0174294-3869170,11.55,-4.16,0.0,7.390000000000001,203-0174294-3869170,6.56,4.99,0.0,0.0,11.55,4.16
203-0225527-3617179,7.91,0.0,0.0,7.91,203-0225527-3617179,7.91,0.64,0.0,0.0,8.55,0.64
203-0247308-9057105,3.98,0.0,0.0,3.98,203-0247308-9057105,3.98,0.41,0.0,0.0,4.39,0.41
203-0254398-6882728,11.79,-4.15,0.0,7.639999999999999,203-0254398-6882728,6.8,4.99,0.0,0.0,11.79,4.15
203-0577936-4872355,5.98,0.0,0.0,5.98,203-0577936-4872355,5.98,0.56,0.0,0.0,6.540000000000001,0.56
203-0599284-0184318,2.99,0.0,0.0,2.99,203-0599284-0184318,2.99,0.15,0.0,0.0,3.14,0.15
203-0826015-6932354,29.97,0.0,0.0,29.97,203-0826015-6932354,29.97,0.55,0.0,0.0,30.52,0.55
203-0908282-3036315,11.79,-4.16,0.0,7.629999999999999,203-0908282-3036315,6.8,4.99,0.0,0.0,11.79,4.16
