Date,Order ID,lvl,SKU,Quantity Ordered,Price_Total
2026-01-01T03:41:00Z,026-6913307-1715501,,EV-CHU5-XU3G,1,6.73
2026-01-01T05:24:00Z,204-5110114-7020348,,Z7-26PV-O9LR,1,8.99
2026-01-01T10:21:00Z,203-3755986-8779530,,6V-EEC1-2S9Z,1,7.99
2026-01-01T10:54:00Z,203-4763592-6333920,,EV-CHU5-XU3G,1,6.73
2026-01-01T10:57:00Z,205-9658159-4177914,,WX-L5UA-UB1Q,1,5.87
2026-01-01T11:04:00Z,204-7553228-2684351,,6V-EEC1-2S9Z,1,8.01
2026-01-01T11:09:00Z,204-9395592-8498701,,Z7-26PV-O9LR,1,8.99
2026-01-01T11:20:00Z,202-3373455-3385164,,SU-5LQH-2DVN,1,8.28
2026-01-01T11:43:00Z,204-7473730-8647512,,6V-EEC1-2S9Z,1,8.01
2026-01-01T12:07:00Z,203-5895207-3495524,,6V-EEC1-2S9Z,1,8.01
2026-01-01T12:48:00Z,206-7207471-8289903,,Z7-26PV-O9LR,1,8.99
2026-01-01T12:51:00Z,202-0316846-4033959,,Z7-26PV-O9LR,1,8.99
2026-01-01T12:54:00Z,202-7322617-9563537,,TJ-6LOP-OPEU,1,7.08
2026-01-01T13:22:00Z,026-0698469-9353960,,6V-EEC1-2S9Z,1,8.01
2026-01-01T13:35:00Z,026-9424504-4957967,,3X-EXDD-TD2K,1,49.99
2026-01-01T13:56:00Z,026-8563039-1840362,,Z7-26PV-O9LR,1,8.99
2026-01-01T13:59:00Z,204-8509333-1419566,,WX-L5UA-UB1Q,1,5.87
2026-01-01T14:40:00Z,205-7112528-8351519,,WX-L5UA-UB1Q,1,5.87
2026-01-01T14:59:00Z,205-7643303-3324362,,6V-EEC1-2S9Z,1,8.03
2026-01-01T15:12:00Z,202-7815713-6541940,,6V-EEC1-2S9Z,1,8.03
2026-01-01T15:41:00Z,203-8381898-2659535,,EV-CHU5-XU3G,1,6.73
2026-01-01T15:42:00Z,204-6398425-2686723,,WX-L5UA-UB1Q,1,5.87
2026-01-01T16:04:00Z,026-2835431-4003514,,DC-K5WH-R7F5,1,3
2026-01-01T17:09:00Z,026-5313246-8599533,,6V-EEC1-2S9Z,1,8.05
2026-01-01T17:21:00Z,203-2356632-3105919,,SU-5LQH-2DVN,1,8.18
2026-01-01T17:27:00Z,026-9762495-0064333,,6V-EEC1-2S9Z,1,8.07
2026-01-01T17:28:00Z,206-0647215-7566760,,4F-HT42-FD26,1,8.98
2026-01-01T17:35:00Z,202-0163562-6882721,,Z7-26PV-O9LR,1,8.99
2026-01-01T18:09:00Z,205-0291358-9417951,,49-4UKW-G81R,2,16.44
2026-01-01T18:26:00Z,205-9979731-9513929,,EV-CHU5-XU3G,1,6.73
2026-01-01T19:47:00Z,202-8895078-2724346,,6V-EEC1-2S9Z,1,8.09
2026-01-01T20:10:00Z,203-5551125-1557926,,WX-L5UA-UB1Q,1,5.87
2026-01-01T20:20:00Z,204-3764574-1853903,,SU-5LQH-2DVN,1,8.18
2026-01-01T20:23:00Z,204-6220941-7393909,,WX-L5UA-UB1Q,1,5.87
2026-01-01T20:52:00Z,205-4179902-1289924,,WX-L5UA-UB1Q,1,5.87
2026-01-01T21:16:00Z,206-4646853-8024367,,SU-5LQH-2DVN,1,8.18
2026-01-01T22:03:00Z,206-9537384-7986709,,WX-L5UA-UB1Q,1,5.87
2026-01-01T22:23:00Z,204-9879523-5781124,,XE-YPAI-HX9F,1,12.25
2026-01-01T00:49:00Z,408-6032581-8743553,,DC-K5WH-R7F5,2,6.96
2026-01-01T08:01:00Z,405-3654800-4548357,,TU-8I14-25ZR,1,29.89
2026-01-01T10:50:00Z,404-4880052-9365131,,TU-8I14-25ZR,1,29.89
2026-01-01T22:27:00Z,202-7925719-5142763,,D2-8SPY-Q095,1,9.92
2026-01-01T22:34:00Z,206-4495253-2835556,,6V-EEC1-2S9Z,1,8.11
2026-01-01T22:36:00Z,026-4398509-3197117,,SU-5LQH-2DVN,1,8.18
2026-01-01T23:22:00Z,204-8122313-4281919,,6V-EEC1-2S9Z,1,8.11
2026-01-01T23:50:00Z,203-3784865-8868353,,6V-EEC1-2S9Z,1,8.11
2026-01-01T23:58:00Z,202-7434904-0586728,,6V-EEC1-2S9Z,1,8.11
2026-01-01T18:53:00Z,204-9658283-5620365,,6V-EEC1-2S9Z,2,15.96
