Date,Order ID,lvl,SKU,Quantity Ordered,Price_Total
2026-01-13T00:30:00Z,204-4437502-7855542,,8U-QPFH-3EKQ,3,19.41
2026-01-13T06:32:00Z,405-9840625-5179538,,4W-VS57-BV6A,1,151.34
2026-01-13T06:43:00Z,402-5796917-2234757,,Z7-26PV-O9LR,1,48.92
2026-01-13T00:53:00Z,026-9109072-3652341,,8U-QPFH-3EKQ,1,6.47
2026-01-13T01:48:00Z,203-8969358-9148345,,MW-9K5M-VKW8,1,27.0
2026-01-13T02:01:00Z,202-3265200-5496308,,4F-HT42-FD26,1,8.98
2026-01-13T04:28:00Z,204-8504610-7422707,,6V-EEC1-2S9Z,1,7.7
2026-01-13T08:54:00Z,205-8465086-7197923,,WX-L5UA-UB1Q,1,5.77
2026-01-13T09:03:00Z,205-0010865-0173134,,WX-L5UA-UB1Q,1,5.77
2026-01-13T10:09:00Z,204-4963943-4113941,,MW-9K5M-VKW8,1,27.0
2026-01-13T10:27:00Z,205-2864175-7448359,,XE-YPAI-HX9F,6,62.94
2026-01-13T10:44:00Z,202-3735392-9928306,,6V-EEC1-2S9Z,1,7.61
2026-01-13T10:45:00Z,026-6307031-2176302,,XE-YPAI-HX9F,1,10.49
2026-01-13T10:49:00Z,204-9755697-2997140,,MW-9K5M-VKW8,1,27.0
2026-01-13T11:38:00Z,204-3164050-8695521,,MW-9K5M-VKW8,1,27.0
2026-01-13T11:45:00Z,026-1742568-2625110,,6V-EEC1-2S9Z,4,30.44
2026-01-13T11:48:00Z,204-6341093-0665936,,MW-9K5M-VKW8,1,27.0
2026-01-13T11:58:00Z,026-7028819-9514761,,PE-G94Y-4PYO,2,17.48
2026-01-13T12:06:00Z,203-8702503-3693151,,6V-EEC1-2S9Z,1,7.61
2026-01-13T12:07:00Z,026-9935814-5079508,,6V-EEC1-2S9Z,1,7.61
2026-01-13T12:37:00Z,026-1319155-1408338,,6V-EEC1-2S9Z,4,30.44
2026-01-13T12:42:00Z,203-4217948-6389941,,6V-EEC1-2S9Z,1,7.61
2026-01-13T12:51:00Z,203-0258832-5588322,,SU-5LQH-2DVN,1,8.49
2026-01-13T13:06:00Z,204-9390927-0443503,,6V-EEC1-2S9Z,3,22.83
2026-01-13T13:06:00Z,026-4627445-1833958,,MW-9K5M-VKW8,1,27.0
2026-01-13T13:20:00Z,204-3658690-8873103,,WX-L5UA-UB1Q,1,5.77
2026-01-13T13:27:00Z,203-3326317-8747557,,MW-9K5M-VKW8,1,27.0
2026-01-13T13:39:00Z,206-1686104-6618703,,6V-EEC1-2S9Z,1,7.61
2026-01-13T14:50:00Z,204-4633014-7589121,,K0-71JR-UNLF,1,7.59
2026-01-13T15:36:00Z,026-0017416-5297920,,6V-EEC1-2S9Z,2,15.98
2026-01-13T15:39:00Z,203-3372451-3477144,,WX-L5UA-UB1Q,1,5.77
2026-01-13T15:53:00Z,202-1371500-8857956,,6V-EEC1-2S9Z,1,7.99
2026-01-13T16:20:00Z,202-9213633-1573912,,F7-PMJ2-SG6A,1,7.9
2026-01-13T17:31:00Z,205-0071847-4313963,,MW-9K5M-VKW8,1,27.0
2026-01-13T17:43:00Z,026-2146713-2501948,,XE-YPAI-HX9F,1,10.58
2026-01-13T18:17:00Z,206-7459459-1431501,,WX-L5UA-UB1Q,1,5.77
2026-01-13T18:19:00Z,206-2833113-6489126,,DC-K5WH-R7F5,1,3.0
2026-01-13T18:35:00Z,026-6462308-6906729,,DC-K5WH-R7F5,1,3.0
2026-01-13T18:39:00Z,205-0111623-5667566,,WX-L5UA-UB1Q,1,5.77
2026-01-13T19:29:00Z,205-9900329-9619536,,XE-YPAI-HX9F,2,21.22
2026-01-13T20:05:00Z,206-8837196-8000343,,MW-9K5M-VKW8,1,27.0
2026-01-13T20:09:00Z,202-4083928-8239517,,WX-L5UA-UB1Q,1,5.77
2026-01-13T20:16:00Z,206-4312339-7341126,,WX-L5UA-UB1Q,1,5.77
2026-01-13T20:52:00Z,205-7719933-7589921,,WX-L5UA-UB1Q,1,5.77
2026-01-13T21:26:00Z,203-4566672-3944335,,TU-8I14-25ZR,1,27.55
2026-01-13T21:31:00Z,026-3645331-2365903,,WX-L5UA-UB1Q,1,5.77
2026-01-13T21:39:00Z,026-4832195-1604358,,MW-9K5M-VKW8,1,27.0
2026-01-13T21:46:00Z,204-6794713-9791563,,DC-K5WH-R7F5,1,3.0
2026-01-13T22:19:00Z,206-6375749-3605900,,MW-9K5M-VKW8,1,27.0
2026-01-13T22:24:00Z,202-0704749-1637148,,TU-8I14-25ZR,1,27.55
2026-01-13T22:31:00Z,206-6937107-9407531,,WX-L5UA-UB1Q,1,5.77
2026-01-13T22:46:00Z,205-0513198-1953964,,OV-LVEL-DQL6,1,16.08
2026-01-13T23:19:00Z,203-1168223-3133942,,SU-5LQH-2DVN,1,8.49
2026-01-13T23:47:00Z,205-3588169-7984310,,DC-K5WH-R7F5,1,3.0
