supplier_id,supplier_name,source_type,source_subtype,source_url,source_folder_path,existing_supplier_config_path,converter_id,normal_refresh_days,minimum_rescan_days,large_file_flag,manual_request_required_flag,priority_band,active_flag,notes
bliss_distribution,Bliss Distribution,manual_request,email_request,,C:\Users\Luke\Desktop\SellerOne Price Files\Bliss Distribution\inbox,,bliss_distribution,30,30,0,1,monthly_manual,1,Email request supplier. User requests the monthly file and drops it into the SellerOne Price Files inbox folder when received. Processed files move to the sibling Processed folder.
stax,Stax,api_pull,csv_link,https://www.staxtradecentres.co.uk/feeds/1.3/product.csv?key=rte4adf6rv&method=button,,,"stax",1,1,1,0,api,1,Keyed CSV feed. Downloaded on demand into the test-mode inbox and converted with the Stax supplier adapter.
rashmian,Rashmian,url_download,csv_link,https://www.rashmian.com/fdownload.php?feedDownload=Y,,,rashmian,7,7,0,0,parked,0,Parked by user decision on 2026-04-30. Website-link supplier returns login HTML and is not needed for the current queue playground.
td_synnex,TD Synnex,email_attachment,daily_email,,C:\Users\Luke\Desktop\SellerOne Price Files\TD Synnex\inbox,,td_synnex,1,7,1,0,parked,0,Parked by user decision on 2026-04-30. Daily email supplier needs later email/API access and large-file handling; keep out of active queue for now.
dhb,DHB,manual_request,email_request,,C:\Users\Luke\Desktop\Amazon price files\DHB\Inbox,,dhb,30,30,0,1,monthly_manual,1,Email request supplier. User requests the monthly file and drops it into the simple Desktop inbox folder when received. Processed files move to the sibling Processed folder.
shure_cosmetics,Shure Cosmetics,api_pull,csv_link,https://aux.shure-cosmetics.co.uk/pricelist/,,config/feeder/suppliers/shure_cosmetics.json,shure_cosmetics,1,1,0,0,pilot,1,Existing F supplier setup downloads this CSV link and converts with scripts/flows/F/suppliers/shure_cosmetics.py. Live F061 handoff remains disabled.
clf,CLF,api_pull,api,http://services.clfdistribution.com:8080/CLFWebOrdering/WebOrdering.asmx,,,clf,1,1,0,0,api,1,"CLF SOAP API. Fetches a fresh authentication token from local ignored credentials, pulls product codes and batched product data, and imports barcode plus cost rows."
heo,Heo,api_pull,api,https://integrate.heo.com/retailer-api/v1/catalog,,,heo,1,1,0,0,api,1,Heo retailer API. Fetches products and prices with Basic Auth and expands product barcodes before importing the generated local CSV batch.
abgee,ABGee,email_attachment,daily_email,,C:\Users\Luke\Desktop\SellerOne Price Files\ABGee\inbox,,abgee,1,3,0,0,daily_email,1,Reactivated on 2026-05-22 for Gmail daily attachment intake and scanner queue. ABGee PK unit codes divide pack cost to unit cost in the supplier converter.
we_stock_lots,We Stock Lots,api_pull,csv_link,https://westocklots.com/api/export/stocklist/?format=csv,,,"we_stock_lots",1,1,0,0,parked,0,Parked by user decision on 2026-04-30. Supplier is not worth authenticated export effort right now. Converter remains available but supplier is inactive and should not appear in the active queue.
tropicana_wholesale,Tropicana Wholesale,email_attachment,daily_email,,C:\Users\Luke\Desktop\SellerOne Price Files\Tropicana Wholesale\inbox,,tropicana_wholesale,1,3,0,0,parked,0,Parked by user decision on 2026-04-30. Daily email supplier needs later email/API access; keep out of active queue for now.
entertainment_trading,Entertainment Trading,manual_request,email_request,,C:\Users\Luke\Desktop\Amazon price files\Entertainment Trading\Inbox,,entertainment_trading,30,30,0,1,recovery_priority,1,Reactivated on 2026-04-30 for Phase 22 recovery resume. Seed half-completed scan before normal queue.
