"event_ts_utc","sku","state","old_price_gbp","new_price_gbp","write_status","write_error","final_ceiling_landed_gbp","hard_floor_gbp","reason_codes_json"
"2026-02-16T17:13:17Z","L1-54EX-56YC","REGAIN","14.3","13.70","WRITE_NOT_APPLIED","WRITE_NOT_APPLIED","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-16T17:29:09Z","L1-54EX-56YC","REGAIN","13.7","13.70","NO_WRITE_REQUIRED","","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-16T17:45:05Z","L1-54EX-56YC","REGAIN","17.99","13.70","WRITE_NOT_APPLIED","WRITE_NOT_APPLIED","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-16T18:01:02Z","L1-54EX-56YC","REGAIN","14.3","13.70","WRITE_NOT_APPLIED","WRITE_NOT_APPLIED","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-16T18:16:56Z","L1-54EX-56YC","REGAIN","13.7","13.70","NO_WRITE_REQUIRED","","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-16T18:32:47Z","L1-54EX-56YC","RAISE_FIND_LOSS","13.7","13.90","WRITE_NOT_APPLIED","WRITE_NOT_APPLIED","17.99","12.84","[""MISSING_BOUND_RAISE_FIND_LOSS"",""STEP_RAISE_FIND_LOSS_UP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-16T18:48:40Z","L1-54EX-56YC","REGAIN","13.9","13.02","WRITE_NOT_APPLIED","WRITE_NOT_APPLIED","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-16T19:04:33Z","L1-54EX-56YC","REGAIN","13.02","13.02","NO_WRITE_REQUIRED","","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-16T19:20:26Z","L1-54EX-56YC","REGAIN","13.02","13.02","NO_WRITE_REQUIRED","","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-16T19:36:22Z","L1-54EX-56YC","RAISE_FIND_LOSS","13.02","13.22","WRITE_NOT_APPLIED","WRITE_NOT_APPLIED","17.99","12.84","[""MISSING_BOUND_RAISE_FIND_LOSS"",""STEP_RAISE_FIND_LOSS_UP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-16T19:52:21Z","L1-54EX-56YC","REGAIN","13.22","12.84","WRITE_NOT_APPLIED","WRITE_NOT_APPLIED","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-16T20:08:25Z","L1-54EX-56YC","REGAIN","12.84","12.84","APPLIED","","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-16T20:24:23Z","L1-54EX-56YC","REGAIN","12.84","12.84","APPLIED","","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-16T20:40:18Z","L1-54EX-56YC","REGAIN","12.84","12.84","APPLIED","","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
